"roi_num","hemi","network","subregion"
370,"R","Default","Temp4"
371,"R","Default","Temp5"
372,"R","Default","Temp6"
373,"R","Default","Temp7"
374,"R","Default","Temp8"
375,"R","Default","PFCv1"
376,"R","Default","PFCv2"
377,"R","Default","PFCv3"
378,"R","Default","PFCv4"
379,"R","Default","PFCdPFCm1"
380,"R","Default","PFCdPFCm2"
381,"R","Default","PFCdPFCm3"
382,"R","Default","PFCdPFCm4"
383,"R","Default","PFCdPFCm5"
384,"R","Default","PFCdPFCm6"
385,"R","Default","PFCdPFCm7"
386,"R","Default","PFCdPFCm8"
387,"R","Default","PFCdPFCm9"
388,"R","Default","PFCdPFCm10"
389,"R","Default","PFCdPFCm11"
390,"R","Default","PFCdPFCm12"
391,"R","Default","PFCdPFCm13"
392,"R","Default","pCunPCC1"
393,"R","Default","pCunPCC2"
394,"R","Default","pCunPCC3"
395,"R","Default","pCunPCC4"
396,"R","Default","pCunPCC5"
397,"R","Default","pCunPCC6"
398,"R","Default","pCunPCC7"
399,"R","Default","pCunPCC8"
400,"R","Default","pCunPCC9"
# Subcortical region labels
401,L,,BLA
402,R,,BLA
403,L,,CMN
404,R,,BLA
405,L,,Thalamus (Prefrontal)
406,L,,Thalamus (Premotor)
407,L,,Thalamus (Posterior parietal)
408,L,,Thalamus (Temporal)
409,R,,Thalamus (Prefrontal)
410,R,,Thalamus (Premotor)
411,R,,Thalamus (Posterior parietal)
412,R,,Thalamus (Temporal)
413,L,SomMot,Posterior Putamen
414,L,SalVentAttn,Anterior Putamen
415,L,Limbic,Ventral Striatum
416,L,Cont,Caudate Tail and Lateral Putamen
417,L,Default,Caudate Head
418,R,SomMot,Posterior Putamen
419,R,SalVentAttn,Anterior Putamen
420,R,Limbic,Ventral Striatum
421,R,Cont,Caudate Tail and Lateral Putamen
422,R,Default,Caudate Head
423,L,,Hippocampus: posterior tail
424,L,,Hippocampus: posterior body
425,L,,Hippocampus: anterior body
426,L,,Hippocampus: anterior head
427,R,,Hippocampus: posterior tail
428,R,,Hippocampus: posterior body
429,R,,Hippocampus: anterior body
430,R,,Hippocampus: anterior head
