"roi_num","hemi","network","subregion"
1,"L","Vis","1"
2,"L","Vis","2"
3,"L","Vis","3"
4,"L","Vis","4"
5,"L","Vis","5"
6,"L","Vis","6"
7,"L","Vis","7"
8,"L","Vis","8"
9,"L","Vis","9"
10,"L","Vis","10"
11,"L","Vis","11"
12,"L","Vis","12"
13,"L","Vis","13"
14,"L","Vis","14"
15,"L","SomMot","1"
16,"L","SomMot","2"
17,"L","SomMot","3"
18,"L","SomMot","4"
19,"L","SomMot","5"
20,"L","SomMot","6"
21,"L","SomMot","7"
22,"L","SomMot","8"
23,"L","SomMot","9"
24,"L","SomMot","10"
25,"L","SomMot","11"
26,"L","SomMot","12"
27,"L","SomMot","13"
28,"L","SomMot","14"
29,"L","SomMot","15"
30,"L","SomMot","16"
31,"L","DorsAttn","Post1"
32,"L","DorsAttn","Post2"
33,"L","DorsAttn","Post3"
34,"L","DorsAttn","Post4"
35,"L","DorsAttn","Post5"
36,"L","DorsAttn","Post6"
37,"L","DorsAttn","Post7"
38,"L","DorsAttn","Post8"
39,"L","DorsAttn","Post9"
40,"L","DorsAttn","Post10"
41,"L","DorsAttn","FEF1"
42,"L","DorsAttn","FEF2"
43,"L","DorsAttn","PrCv1"
44,"L","SalVentAttn","ParOper1"
45,"L","SalVentAttn","ParOper2"
46,"L","SalVentAttn","ParOper3"
47,"L","SalVentAttn","FrOper1"
48,"L","SalVentAttn","FrOper2"
49,"L","SalVentAttn","FrOper3"
50,"L","SalVentAttn","FrOper4"
51,"L","SalVentAttn","PFCl1"
52,"L","SalVentAttn","Med1"
53,"L","SalVentAttn","Med2"
54,"L","SalVentAttn","Med3"
55,"L","Limbic","OFC1"
56,"L","Limbic","OFC2"
57,"L","Limbic","TempPole1"
58,"L","Limbic","TempPole2"
59,"L","Limbic","TempPole3"
60,"L","Limbic","TempPole4"
61,"L","Cont","Par1"
62,"L","Cont","Par2"
63,"L","Cont","Par3"
64,"L","Cont","Temp1"
65,"L","Cont","PFCl1"
66,"L","Cont","PFCl2"
67,"L","Cont","PFCl3"
68,"L","Cont","PFCl4"
69,"L","Cont","PFCl5"
70,"L","Cont","PFCl6"
71,"L","Cont","pCun1"
72,"L","Cont","Cing1"
73,"L","Cont","Cing2"
74,"L","Default","Temp1"
75,"L","Default","Temp2"
76,"L","Default","Temp3"
77,"L","Default","Temp4"
78,"L","Default","Temp5"
79,"L","Default","Temp6"
80,"L","Default","Temp7"
81,"L","Default","Temp8"
82,"L","Default","Temp9"
