"roi_num","hemi","network","subregion"
1,"L","VisCent","ExStr1"
2,"L","VisCent","ExStr2"
3,"L","VisCent","ExStr3"
4,"L","VisCent","ExStr4"
5,"L","VisCent","ExStr5"
6,"L","VisCent","ExStr6"
7,"L","VisCent","Striate1"
8,"L","VisCent","ExStr7"
9,"L","VisCent","ExStr8"
10,"L","VisCent","ExStr9"
11,"L","VisCent","ExStr10"
12,"L","VisCent","ExStr11"
13,"L","VisPeri","ExStrInf1"
14,"L","VisPeri","ExStrInf2"
15,"L","VisPeri","ExStrInf3"
16,"L","VisPeri","ExStrInf4"
17,"L","VisPeri","ExStrInf5"
18,"L","VisPeri","StriCal1"
19,"L","VisPeri","StriCal2"
20,"L","VisPeri","ExStrSup1"
21,"L","VisPeri","ExStrSup2"
22,"L","VisPeri","ExStrSup3"
23,"L","VisPeri","ExStrSup4"
24,"L","VisPeri","ExStrSup5"
25,"L","SomMotA","1"
26,"L","SomMotA","2"
27,"L","SomMotA","3"
28,"L","SomMotA","4"
29,"L","SomMotA","5"
30,"L","SomMotA","6"
31,"L","SomMotA","7"
32,"L","SomMotA","8"
33,"L","SomMotA","9"
34,"L","SomMotA","10"
35,"L","SomMotA","11"
36,"L","SomMotA","12"
37,"L","SomMotA","13"
38,"L","SomMotA","14"
39,"L","SomMotA","15"
40,"L","SomMotA","16"
41,"L","SomMotA","17"
42,"L","SomMotA","18"
43,"L","SomMotA","19"
44,"L","SomMotB","Aud1"
45,"L","SomMotB","Aud2"
46,"L","SomMotB","Ins1"
47,"L","SomMotB","S21"
48,"L","SomMotB","S22"
49,"L","SomMotB","Aud3"
50,"L","SomMotB","Aud4"
51,"L","SomMotB","S23"
52,"L","SomMotB","S24"
53,"L","SomMotB","S25"
54,"L","SomMotB","S26"
55,"L","SomMotB","Cent1"
56,"L","SomMotB","Cent2"
57,"L","SomMotB","Cent3"
58,"L","SomMotB","Cent4"
59,"L","SomMotB","Cent5"
60,"L","DorsAttnA","TempOcc1"
61,"L","DorsAttnA","TempOcc2"
62,"L","DorsAttnA","TempOcc3"
63,"L","DorsAttnA","TempOcc4"
64,"L","DorsAttnA","ParOcc1"
65,"L","DorsAttnA","ParOcc2"
66,"L","DorsAttnA","SPL1"
67,"L","DorsAttnA","SPL2"
68,"L","DorsAttnA","SPL3"
69,"L","DorsAttnA","SPL4"
70,"L","DorsAttnA","SPL5"
71,"L","DorsAttnA","SPL6"
72,"L","DorsAttnA","SPL7"
73,"L","DorsAttnB","PostC1"
74,"L","DorsAttnB","PostC2"
75,"L","DorsAttnB","PostC3"
76,"L","DorsAttnB","PostC4"
77,"L","DorsAttnB","PostC5"
78,"L","DorsAttnB","PostC6"
79,"L","DorsAttnB","PostC7"
80,"L","DorsAttnB","PostC8"
81,"L","DorsAttnB","PostC9"
82,"L","DorsAttnB","FEF1"
83,"L","DorsAttnB","FEF2"
84,"L","DorsAttnB","FEF3"
85,"L","DorsAttnB","PrCv1"
86,"L","SalVentAttnA","ParOper1"
87,"L","SalVentAttnA","ParOper2"
88,"L","SalVentAttnA","ParOper3"
89,"L","SalVentAttnA","Ins1"
90,"L","SalVentAttnA","Ins2"
91,"L","SalVentAttnA","Ins3"
92,"L","SalVentAttnA","Ins4"
93,"L","SalVentAttnA","FrOper1"
94,"L","SalVentAttnA","FrOper2"
95,"L","SalVentAttnA","ParMed1"
96,"L","SalVentAttnA","ParMed2"
97,"L","SalVentAttnA","ParMed3"
98,"L","SalVentAttnA","FrMed1"
99,"L","SalVentAttnA","FrMed2"
100,"L","SalVentAttnA","FrMed3"
101,"L","SalVentAttnB","PFCl1"
102,"L","SalVentAttnB","PFCl2"
103,"L","SalVentAttnB","PFCl3"
104,"L","SalVentAttnB","Ins1"
105,"L","SalVentAttnB","Ins2"
106,"L","SalVentAttnB","Ins3"
107,"L","SalVentAttnB","OFC1"
108,"L","SalVentAttnB","PFCmp1"
109,"L","LimbicB","OFC1"
110,"L","LimbicB","OFC2"
111,"L","LimbicB","OFC3"
112,"L","LimbicB","OFC4"
113,"L","LimbicB","OFC5"
114,"L","LimbicA","TempPole1"
115,"L","LimbicA","TempPole2"
116,"L","LimbicA","TempPole3"
117,"L","LimbicA","TempPole4"
118,"L","LimbicA","TempPole5"
119,"L","LimbicA","TempPole6"
120,"L","LimbicA","TempPole7"
121,"L","ContA","Temp1"
122,"L","ContA","IPS1"
123,"L","ContA","IPS2"
124,"L","ContA","IPS3"
125,"L","ContA","IPS4"
126,"L","ContA","IPS5"
127,"L","ContA","PFCd1"
128,"L","ContA","PFClv1"
129,"L","ContA","PFClv2"
130,"L","ContA","PFCl1"
131,"L","ContA","PFCl2"
132,"L","ContA","PFCl3"
133,"L","ContA","Cingm1"
134,"L","ContB","Temp1"
135,"L","ContB","Temp2"
136,"L","ContB","IPL1"
137,"L","ContB","IPL2"
138,"L","ContB","IPL3"
139,"L","ContB","PFCd1"
140,"L","ContB","PFClv1"
141,"L","ContB","PFClv2"
142,"L","ContB","PFClv3"
143,"L","ContB","PFCmp1"
144,"L","ContC","pCun1"
145,"L","ContC","pCun2"
146,"L","ContC","pCun3"
147,"L","ContC","Cingp1"
148,"L","ContC","Cingp2"
149,"L","DefaultA","IPL1"
150,"L","DefaultA","IPL2"
151,"L","DefaultA","PFCd1"
152,"L","DefaultA","PFCd2"
153,"L","DefaultA","PFCd3"
154,"L","DefaultA","pCunPCC1"
155,"L","DefaultA","pCunPCC2"
156,"L","DefaultA","pCunPCC3"
157,"L","DefaultA","pCunPCC4"
158,"L","DefaultA","pCunPCC5"
159,"L","DefaultA","pCunPCC6"
160,"L","DefaultA","pCunPCC7"
161,"L","DefaultA","PFCm1"
162,"L","DefaultA","PFCm2"
163,"L","DefaultA","PFCm3"
164,"L","DefaultA","PFCm4"
165,"L","DefaultA","PFCm5"
166,"L","DefaultA","PFCm6"
167,"L","DefaultB","Temp1"
168,"L","DefaultB","Temp2"
169,"L","DefaultB","Temp3"
170,"L","DefaultB","Temp4"
171,"L","DefaultB","Temp5"
172,"L","DefaultB","Temp6"
173,"L","DefaultB","IPL1"
174,"L","DefaultB","IPL2"
175,"L","DefaultB","PFCd1"
176,"L","DefaultB","PFCd2"
177,"L","DefaultB","PFCd3"
178,"L","DefaultB","PFCd4"
179,"L","DefaultB","PFCd5"
180,"L","DefaultB","PFCd6"
181,"L","DefaultB","PFCl1"
182,"L","DefaultB","PFCl2"
183,"L","DefaultB","PFCv1"
184,"L","DefaultB","PFCv2"
185,"L","DefaultB","PFCv3"
186,"L","DefaultB","PFCv4"
187,"L","DefaultB","PFCv5"
188,"L","DefaultC","IPL1"
189,"L","DefaultC","Rsp1"
190,"L","DefaultC","Rsp2"
191,"L","DefaultC","Rsp3"
192,"L","DefaultC","PHC1"
193,"L","DefaultC","PHC2"
194,"L","DefaultC","PHC3"
195,"L","TempPar","1"
196,"L","TempPar","2"
197,"L","TempPar","3"
198,"L","TempPar","4"
199,"L","TempPar","5"
200,"L","TempPar","6"
201,"R","VisCent","ExStr1"
202,"R","VisCent","ExStr2"
203,"R","VisCent","ExStr3"
204,"R","VisCent","ExStr4"
