"roi_num","hemi","network","subregion"
1,"L","VisCent","ExStr1"
2,"L","VisCent","ExStr2"
3,"L","VisCent","ExStr3"
4,"L","VisCent","ExStr4"
5,"L","VisCent","ExStr5"
6,"L","VisCent","ExStr6"
7,"L","VisPeri","ExStrSup1"
8,"L","VisPeri","ExStrSup2"
9,"L","VisPeri","ExStrSup3"
10,"L","VisPeri","ExStrSup4"
11,"L","VisPeri","ExStrSup5"
12,"L","VisPeri","ExStrSup6"
13,"L","SomMotA","1"
14,"L","SomMotA","2"
15,"L","SomMotA","3"
16,"L","SomMotA","4"
17,"L","SomMotA","5"
18,"L","SomMotA","6"
19,"L","SomMotA","7"
20,"L","SomMotA","8"
21,"L","SomMotB","Aud1"
22,"L","SomMotB","Aud2"
23,"L","SomMotB","Aud3"
24,"L","SomMotB","Aud4"
25,"L","SomMotB","Aud5"
26,"L","SomMotB","Aud6"
27,"L","SomMotB","Aud7"
28,"L","SomMotB","Aud8"
29,"L","DorsAttnA","TempOcc1"
30,"L","DorsAttnA","TempOcc2"
31,"L","DorsAttnA","TempOcc3"
32,"L","DorsAttnA","SPL1"
33,"L","DorsAttnA","SPL2"
34,"L","DorsAttnA","SPL3"
35,"L","DorsAttnB","PostC1"
36,"L","DorsAttnB","PostC2"
37,"L","DorsAttnB","PostC3"
38,"L","DorsAttnB","PostC4"
39,"L","DorsAttnB","FEF1"
40,"L","SalVentAttnA","ParOper1"
41,"L","SalVentAttnA","Ins1"
42,"L","SalVentAttnA","Ins2"
43,"L","SalVentAttnA","Ins3"
44,"L","SalVentAttnA","ParMed1"
45,"L","SalVentAttnA","FrMed1"
46,"L","SalVentAttnA","FrMed2"
47,"L","SalVentAttnB","IPL1"
48,"L","SalVentAttnB","PFCl1"
49,"L","SalVentAttnB","PFCv1"
50,"L","SalVentAttnB","PFCmp1"
51,"L","Limbic","OFC1"
52,"L","Limbic","OFC2"
53,"L","Limbic","TempPole1"
54,"L","Limbic","TempPole2"
55,"L","Limbic","TempPole3"
56,"L","Limbic","TempPole4"
57,"L","ContA","Temp1"
58,"L","ContA","IPS1"
59,"L","ContA","IPS2"
60,"L","ContA","IPS3"
61,"L","ContA","PFCd1"
62,"L","ContA","PFCl1"
63,"L","ContA","PFCl2"
64,"L","ContA","PFCl3"
65,"L","ContA","PFCl4"
66,"L","ContA","Cinga1"
67,"L","ContB","Temp1"
68,"L","ContB","IPL1"
69,"L","ContB","PFCl1"
70,"L","ContB","PFClv1"
71,"L","ContB","PFClv2"
72,"L","ContC","pCun1"
73,"L","ContC","pCun2"
74,"L","ContC","Cingp1"
75,"L","DefaultA","IPL1"
76,"L","DefaultA","PFCd1"
77,"L","DefaultA","PCC1"
78,"L","DefaultA","PCC2"
79,"L","DefaultA","PCC3"
80,"L","DefaultA","PFCm1"
81,"L","DefaultA","PFCm2"
82,"L","DefaultA","PFCm3"
83,"L","DefaultB","Temp1"
84,"L","DefaultB","Temp2"
85,"L","DefaultB","Temp3"
86,"L","DefaultB","Temp4"
87,"L","DefaultB","IPL1"
88,"L","DefaultB","PFCd1"
89,"L","DefaultB","PFCd2"
90,"L","DefaultB","PFCd3"
91,"L","DefaultB","PFCd4"
92,"L","DefaultB","PFCv1"
93,"L","DefaultB","PFCv2"
94,"L","DefaultB","PFCv3"
95,"L","DefaultB","PFCv4"
96,"L","DefaultC","IPL1"
97,"L","DefaultC","Rsp1"
98,"L","DefaultC","PHC1"
99,"L","TempPar","1"
100,"L","TempPar","2"
101,"R","VisCent","ExStr1"
102,"R","VisCent","ExStr2"
103,"R","VisCent","ExStr3"
104,"R","VisCent","ExStr4"
105,"R","VisCent","ExStr5"
106,"R","VisCent","ExStr6"
107,"R","VisPeri","ExStrSup1"
108,"R","VisPeri","ExStrSup2"
109,"R","VisPeri","ExStrSup3"
110,"R","VisPeri","ExStrSup4"
111,"R","VisPeri","ExStrSup5"
112,"R","VisPeri","ExStrSup6"
113,"R","SomMotA","1"
114,"R","SomMotA","2"
115,"R","SomMotA","3"
116,"R","SomMotA","4"
117,"R","SomMotA","5"
118,"R","SomMotA","6"
119,"R","SomMotA","7"
120,"R","SomMotA","8"
121,"R","SomMotA","9"
122,"R","SomMotA","10"
123,"R","SomMotA","11"
124,"R","SomMotB","S21"
125,"R","SomMotB","S22"
126,"R","SomMotB","S23"
127,"R","SomMotB","S24"
128,"R","SomMotB","S25"
129,"R","SomMotB","S26"
130,"R","SomMotB","S27"
131,"R","DorsAttnA","TempOcc1"
132,"R","DorsAttnA","TempOcc2"
133,"R","DorsAttnA","SPL1"
134,"R","DorsAttnA","SPL2"
135,"R","DorsAttnA","SPL3"
136,"R","DorsAttnA","SPL4"
137,"R","DorsAttnB","PostC1"
138,"R","DorsAttnB","PostC2"
139,"R","DorsAttnB","PostC3"
140,"R","DorsAttnB","PostC4"
141,"R","DorsAttnB","FEF1"
142,"R","SalVentAttnA","ParOper1"
143,"R","SalVentAttnA","PrC1"
144,"R","SalVentAttnA","Ins1"
145,"R","SalVentAttnA","Ins2"
146,"R","SalVentAttnA","Ins3"
147,"R","SalVentAttnA","FrMed1"
148,"R","SalVentAttnA","FrMed2"
149,"R","SalVentAttnA","FrMed3"
150,"R","SalVentAttnA","FrMed4"
151,"R","SalVentAttnB","IPL1"
152,"R","SalVentAttnB","PFCl1"
153,"R","SalVentAttnB","PFCl2"
154,"R","SalVentAttnB","PFCv1"
155,"R","SalVentAttnB","PFCv2"
156,"R","SalVentAttnB","PFCmp1"
157,"R","Limbic","OFC1"
158,"R","Limbic","OFC2"
159,"R","Limbic","OFC3"
160,"R","Limbic","OFC4"
161,"R","Limbic","TempPole1"
162,"R","Limbic","TempPole2"
163,"R","Limbic","TempPole3"
164,"R","Limbic","TempPole4"
165,"R","ContA","IPS1"
166,"R","ContA","IPS2"
167,"R","ContA","PFCd1"
168,"R","ContA","PFCl1"
169,"R","ContA","PFCl2"
170,"R","ContA","Cinga1"
171,"R","ContB","Temp1"
172,"R","ContB","Temp2"
173,"R","ContB","IPL1"
174,"R","ContB","IPL2"
175,"R","ContB","PFCld1"
176,"R","ContB","PFCld2"
177,"R","ContB","PFClv1"
178,"R","ContB","PFClv2"
179,"R","ContB","PFCmp1"
180,"R","ContB","PFCmp2"
181,"R","ContC","pCun1"
182,"R","ContC","pCun2"
183,"R","ContC","Cingp1"
184,"R","DefaultA","IPL1"
185,"R","DefaultA","PFCd1"
186,"R","DefaultA","PCC1"
187,"R","DefaultA","PFCm1"
188,"R","DefaultA","PFCm2"
189,"R","DefaultA","PFCm3"
190,"R","DefaultB","Temp1"
191,"R","DefaultB","AntTemp1"
192,"R","DefaultB","PFCd1"
193,"R","DefaultB","PFCv1"
194,"R","DefaultC","IPL1"
195,"R","DefaultC","Rsp1"
196,"R","DefaultC","PHC1"
197,"R","TempPar","1"
198,"R","TempPar","2"
199,"R","TempPar","3"
200,"R","TempPar","4"
